Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Engine Load (Calculated) (g/rev),Engine Speed (rpm),IAM (4-byte)* (multiplier),Ignition Total Timing (degrees),Intake VVT Advance Angle Left (degrees),Intake VVT Advance Angle Right (degrees),Mass Airflow Sensor Voltage (V),Throttle Opening Angle (%),Turbo Dynamics Integral (4-byte)* (absolute %),Turbo Dynamics Proportional (4-byte)* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline),Manifold Relative Pressure (4-byte)* (psi relative),Knock Correction Advance (degrees),Fine Learning Knock Correction (4-byte)* (degrees),Feedback Knock Correction (4-byte)* (degrees)
0,1.56,0.00,14.59,0.37,2442,1.0000,41.00,10,10,1.80,11.37,2.81,1.71,14.20,-7.94,0.00,0.00,0.00
99,1.56,0.00,14.59,0.34,2458,1.0000,40.50,10,10,1.76,11.76,2.81,1.71,14.60,-7.96,0.00,0.00,0.00
196,2.34,0.00,14.59,0.36,2461,1.0000,41.00,11,10,1.78,11.76,2.81,1.73,14.80,-8.01,0.00,0.00,0.00
289,3.12,0.00,14.70,0.40,2482,1.0000,41.50,10,10,1.82,11.37,2.81,1.77,14.80,-8.07,0.00,0.00,0.00
385,3.12,0.00,14.81,0.38,2477,1.0000,42.00,10,10,1.80,11.76,2.81,1.77,14.80,-8.05,0.00,0.00,0.00
481,2.34,0.00,14.70,0.41,2500,1.0000,42.00,10,10,1.84,11.76,2.81,1.79,14.80,-8.07,0.00,0.00,0.00
577,1.56,0.00,14.47,0.38,2510,1.0000,42.00,11,10,1.82,11.76,2.81,1.75,15.20,-8.09,0.00,0.00,0.00
674,0.78,0.00,14.36,0.44,2516,1.0000,42.50,10,11,1.86,12.55,2.81,1.63,14.80,-7.77,0.00,0.00,0.00
785,1.56,0.00,14.59,0.48,2533,1.0000,42.50,10,10,1.92,12.94,2.81,1.58,14.80,-7.41,0.00,0.00,0.00
880,0.00,0.00,14.59,0.55,2532,1.0000,42.50,10,10,2.00,14.12,2.81,1.98,14.50,-6.79,0.00,0.00,0.00
